OrderID,Buy Date,Buy Price,Sell Date,Sell Price
1,2021-10-01,188.419998,2021-10-04,190.30419798
2,2021-10-04,187.050003,2021-10-04,188.92050303
3,2021-10-05,189.699997,2021-10-05,191.59699697
4,2021-10-06,187.100006,2021-10-06,188.97100606
5,2021-10-07,187.050003,2021-10-07,188.92050303
6,2021-10-08,190.149994,2021-10-08,192.05149394
7,2021-10-11,167.5,2021-10-11,169.175
8,2021-10-12,182.600006,2021-10-12,184.42600606000002
9,2021-10-13,185.25,2021-10-13,187.1025
10,2021-10-14,195.75,2021-10-18,197.7075
11,2021-10-18,195.75,2021-10-18,197.7075
12,2021-10-20,196.460007,2021-10-21,198.42460706999998
13,2021-10-21,190.050003,2021-10-21,191.95050303
14,2021-10-22,194.779999,2021-10-25,196.72779899
15,2021-10-25,194.059998,2021-10-26,196.00059798
16,2021-10-26,194.050003,2021-10-26,195.99050303
17,2021-10-27,194.100006,2021-10-27,196.04100606
18,2021-10-28,192.979996,2021-10-29,194.90979596
19,2021-10-29,182.100006,2021-10-29,183.92100606
20,2021-11-01,191.360001,2021-11-01,193.27360101000002
21,2021-11-02,183.600006,2021-11-02,185.43600606
22,2021-11-03,190.100006,2021-11-03,192.00100606
23,2021-11-04,185.110001,2021-11-04,186.96110101000002
24,2021-11-08,192.600006,2021-11-08,194.52600606000001
25,2021-11-09,193.0,2021-11-10,194.93
26,2021-11-10,192.929993,2021-11-11,194.85929293
27,2021-11-11,192.100006,2021-11-12,194.02100606000002
28,2021-11-12,191.25,2021-11-12,193.1625
29,2021-11-15,190.0,2021-11-15,191.9
30,2021-11-16,194.149994,2021-11-17,196.09149394
31,2021-11-17,192.100006,2021-11-18,194.02100606000002
32,2021-11-18,191.330002,2021-11-22,193.24330202000002
33,2021-11-22,186.0,2021-11-22,187.86
34,2021-11-23,177.199997,2021-11-23,178.97199697
35,2021-11-24,187.779999,2021-11-25,189.65779899
36,2021-11-26,183.809998,2021-11-29,185.64809798000002
37,2021-11-29,180.100006,2021-11-29,181.90100606000001
38,2021-11-30,183.210007,2021-12-01,185.04210707
39,2021-12-01,183.100006,2021-12-01,184.93100606000002
40,2021-12-02,184.509995,2021-12-02,186.35509495
41,2021-12-03,185.75,2021-12-06,187.6075
42,2021-12-06,182.800003,2021-12-07,184.62800303
43,2021-12-07,180.100006,2021-12-07,181.90100606000001
44,2021-12-08,185.710007,2021-12-08,187.56710707
45,2021-12-09,187.160004,2021-12-09,189.03160404
46,2021-12-10,185.0,2021-12-10,186.85
47,2021-12-13,187.600006,2021-12-14,189.47600606
48,2021-12-14,184.910004,2021-12-14,186.75910403999998
49,2021-12-15,185.449997,2021-12-16,187.30449697
50,2021-12-16,185.0,2021-12-17,186.85
51,2021-12-17,182.0,2021-12-20,183.82
52,2021-12-20,177.850006,2021-12-20,179.62850606
53,2021-12-21,180.0,2021-12-22,181.8
54,2021-12-22,180.050003,2021-12-22,181.85050303
55,2021-12-23,183.5,2021-12-24,185.335
56,2021-12-24,180.100006,2021-12-24,181.90100606000001
57,2021-12-27,178.0,2021-12-27,179.78
58,2021-12-28,184.550003,2021-12-29,186.39550303000001
59,2021-12-29,182.5,2021-12-29,184.325
60,2021-12-31,185.149994,2021-12-31,187.00149394
61,2022-01-03,185.300003,2022-01-03,187.15300303
62,2022-01-04,189.199997,2022-01-04,191.09199697
63,2022-01-05,191.300003,2022-01-05,193.21300303
64,2022-01-06,190.75,2022-01-07,192.6575
65,2022-01-07,191.399994,2022-01-10,193.31399394
66,2022-01-11,193.25,2022-01-12,195.1825
67,2022-01-12,195.050003,2022-01-13,197.00050303
68,2022-01-13,195.800003,2022-01-14,197.75800303
69,2022-01-14,195.5,2022-01-17,197.455
70,2022-01-17,195.699997,2022-01-17,197.65699697
71,2022-01-18,195.600006,2022-01-19,197.55600606000002
72,2022-01-19,193.0,2022-01-20,194.93
73,2022-01-20,191.100006,2022-01-24,193.01100606
74,2022-01-21,189.220001,2022-01-24,191.11220101
75,2022-01-24,184.050003,2022-01-25,185.89050303000002
76,2022-01-25,183.050003,2022-01-25,184.88050303
77,2022-01-27,182.699997,2022-01-27,184.52699697
78,2022-01-28,184.800003,2022-01-31,186.64800303
79,2022-01-31,185.25,2022-01-31,187.1025
80,2022-02-01,178.110001,2022-02-01,179.89110101
81,2022-02-02,189.699997,2022-02-02,191.59699697
82,2022-02-03,189.600006,2022-02-04,191.49600606
83,2022-02-04,189.009995,2022-02-07,190.90009495
84,2022-02-07,185.389999,2022-02-08,187.24389899
85,2022-02-08,184.5,2022-02-08,186.345
86,2022-02-09,187.100006,2022-02-09,188.97100606
87,2022-02-10,188.5,2022-02-11,190.385
88,2022-02-11,187.0,2022-02-16,188.87
89,2022-02-14,182.300003,2022-02-15,184.12300303
90,2022-02-15,182.589996,2022-02-15,184.41589596000003
91,2022-02-16,186.449997,2022-02-17,188.31449697
92,2022-02-17,186.169998,2022-02-18,188.03169798
93,2022-02-18,183.300003,2022-02-18,185.13300303
94,2022-02-21,184.690002,2022-02-23,186.53690201999999
95,2022-02-22,182.690002,2022-02-22,184.51690202
96,2022-02-23,184.580002,2022-02-24,186.42580202000002
97,2022-02-24,180.600006,2022-02-24,182.40600606
98,2022-02-24,177.0,2022-02-25,178.77
99,2022-02-25,179.0,2022-02-25,180.79
100,2022-02-28,176.100006,2022-02-28,177.86100606000002
101,2022-03-02,178.300003,2022-03-02,180.08300303000001
102,2022-03-03,178.300003,2022-03-10,180.08300303000001
103,2022-03-04,175.059998,2022-03-07,176.81059798
104,2022-03-07,171.25,2022-03-08,172.9625
105,2022-03-08,170.259995,2022-03-08,171.96259495
106,2022-03-09,173.149994,2022-03-09,174.88149393999998
107,2022-03-11,177.160004,2022-03-11,178.93160404
108,2022-03-14,178.350006,2022-03-14,180.13350606
109,2022-03-15,179.509995,2022-03-16,181.30509495
110,2022-03-17,185.199997,2022-03-21,187.05199697
111,2022-03-21,182.0,2022-03-21,183.82
112,2022-03-22,184.199997,2022-03-22,186.04199696999999
113,2022-03-23,185.0,2022-03-24,186.85
114,2022-03-24,177.800003,2022-03-24,179.57800303000002
115,2022-03-25,185.0,2022-03-28,186.85
116,2022-03-28,184.300003,2022-03-28,186.14300303000002
117,2022-03-29,184.149994,2022-03-29,185.99149394
118,2022-03-30,187.75,2022-03-31,189.6275
119,2022-03-31,188.149994,2022-04-01,190.03149394
120,2022-04-01,185.0,2022-04-01,186.85
